open_time,open,high,low,close,volume,close_time,qav,trades,tb_base,tb_quote,ignore,timestamp,returns,sma_fast,sma_slow,ema_200,volatility,momentum,rsi,macd,macd_signal,atr,future_return,label
1757105700000,111564.0,111619.87,111564.0,111619.87,10.30342,1757105999999,1149805.86945400,71,6.06564000,676911.95969840,0,2025-09-05 20:55:00,0.0005007887849126647,111467.04111111112,111428.26523809523,111344.74616146236,0.0008134117952259207,35.879999999990105,54.667219572684054,113.9869728902122,116.03782271121129,313.1135714285743,-0.007695314463276093,-1
1757468700000,111000.0,111000.01,110937.81,110951.51,2.4432,1757468999999,271106.67884150,68,1.32883000,147472.22861090,0,2025-09-10 01:45:00,-0.00043684684684686115,111055.72333333333,111144.34904761905,111570.35030901698,0.0006370596924998297,4.849999999991269,37.73727452999401,-103.6359436247294,-93.65503038702556,106.68785714285643,0.003149934597555415,1
1758036600000,115100.0,115204.38,115100.0,115204.38,4.07691,1758036899999,469453.56004730,60,1.28072000,147496.07062900,0,2025-09-16 15:30:00,0.0008854719525541732,115141.15999999999,115098.35476190477,115360.27695279395,0.0010565412497980365,162.38000000000466,36.35475867870997,-31.911061256934772,-48.57325299753142,117.23000000000113,0.006089178206592383,1
1757512500000,113800.02,114006.42,113800.01,113970.68,9.04425,1757512799999,1030718.31033970,154,3.41085000,388690.79983120,0,2025-09-10 13:55:00,0.0014996482425924107,113777.6188888889,113433.75047619049,112207.94889256214,0.002385398306974407,281.9699999999866,39.27706997893001,360.40759027820604,335.4555033636394,441.4150000000019,0.0021874924322642375,1
1757573400000,114390.59,114425.81,114390.58,114397.1,2.72682,1757573699999,311950.98150270,29,1.18035000,135031.28505330,0,2025-09-11 06:50:00,5.6910275574306723e-05,114307.06,114234.61952380954,113740.97354110524,0.0005320283710479355,63.99000000000524,60.490341451092014,61.45394839067012,44.41136901890183,114.19714285714456,-0.003401309998243063,-1
1757510400000,113614.69,113638.5,113437.99,113437.99,2.31928,1757510699999,263288.78326260,177,0.95098000,107895.90512070,0,2025-09-10 13:20:00,-0.0015551687510803047,113433.19111111111,112924.96476190475,112088.7186185414,0.0020219107324745585,-111.30999999999767,57.579482037192385,329.78069691832934,269.6719790429651,472.3564285714279,0.007364464056529796,1
1757942100000,114779.0,114878.97,114735.76,114878.97,3.85247,1757942399999,442243.65361350,140,2.00188000,229791.30364330,0,2025-09-15 13:15:00,0.0008321757187121914,114787.23000000001,114902.21761904762,115377.56225128255,0.0008004906059307426,138.9499999999971,34.16308383799386,-51.848378620197764,-49.391047950146316,6589.142142857143,-0.0037372375466110386,-1
1757983800000,115054.61,115054.62,114945.02,114977.13,2.46217,1757984099999,283146.12677580,131,1.54740000,177958.82183730,0,2025-09-16 00:50:00,-0.0006735062007939829,115116.05333333333,115260.5976190476,115211.90456387191,0.0005655792348072865,-132.25999999999476,56.64370676022163,-81.11213996776496,-55.229381836284006,76.27214285714165,0.002622608513536573,1
1757451000000,111410.25,111448.0,111309.71,111332.97,4.41065,1757451299999,491063.54265520,79,2.15244000,239610.89323790,0,2025-09-09 20:50:00,-0.0006936525140190941,111215.94333333333,111255.41666666667,111763.37933859328,0.0005696873224675226,200.55999999999767,30.254308749016833,20.106161040748702,15.64370417143778,96.53642857142404,0.002211204820997681,1
1757468100000,111059.99,111090.96,110988.31,110997.22,2.56262,1757468399999,284533.63849870,80,1.43640000,159465.72787330,0,2025-09-10 01:35:00,-0.0005651900382847019,111066.29666666668,111197.2623809524,111582.36448106347,0.000711488478974661,-161.22000000000116,61.83444830582285,-100.01169881883834,-88.82044657310273,115.10857142857068,0.0022384344400696587,1
1757493600000,112637.29,112665.72,112344.43,112540.0,32.2003,1757493899999,3625342.47263410,434,16.04182000,1806226.26883770,0,2025-09-10 08:40:00,-0.000863657218995284,112643.56666666667,112358.27904761904,111708.53114805193,0.0010507061101093782,-199.7100000000064,50.58326419128202,224.46074490775936,234.7249443886811,219.1278571428567,-0.003343966589657077,-1
1758031200000,115191.23,115267.97,115168.53,115263.16,2.90994,1758031499999,335253.42447930,94,1.60777000,185251.06232180,0,2025-09-16 14:00:00,0.0006246136315435358,115226.40333333334,115329.18904761906,115412.7300710607,0.0007633232592225788,175.15000000000873,50.67427989512534,-69.63926560309483,-45.69580324659563,463.5135714285726,-0.0021952374028266775,-1
1757855700000,115741.37,115741.37,115665.33,115665.34,2.21952,1757855999999,256829.11316100,95,1.24185000,143693.18588710,0,2025-09-14 13:15:00,-0.0006568956285898375,115730.08555555555,115767.46095238096,115846.48456059319,0.00032372015794080274,-110.98000000001048,57.51744200961993,-53.408976798382355,-51.454651639116484,337.2221428571429,-0.0031299782631512008,-1
1757916600000,116739.83,116739.84,116585.11,116585.12,1.47581,1757916899999,172193.85903120,134,0.66434000,77518.85302830,0,2025-09-15 06:10:00,-0.0013252546281762312,116474.94555555556,116265.12857142858,115672.8700338463,0.0008345011994343694,142.17999999999302,36.71874381359339,235.2137521464465,220.30196262883612,250.6071428571418,-0.0030955923020021814,-1
